crecimiento_poblacional,consumo_medio_anual,tasa_decrecimiento_reservas,precipitaciones_anuales,temperatura_promedio,año_escasez_agua
Alto,Bajo consumo,Rápido,Húmedo,Frío,2066
Medio,Consumo moderado,Rápido,Seco,Frío,2037
Medio,Consumo moderado,Moderado,Moderado,Cálido,2070
Bajo,Consumo moderado,Lento,Seco,Cálido,2057
Alto,Alto consumo,Moderado,Húmedo,Cálido,2045
Medio,Consumo moderado,Moderado,Húmedo,Cálido,2081
Alto,Alto consumo,Lento,Moderado,Cálido,2093
Alto,Alto consumo,Moderado,Húmedo,Templado,2094
Medio,Alto consumo,Rápido,Húmedo,Cálido,2091
Bajo,Alto consumo,Moderado,Seco,Frío,2072
Alto,Consumo moderado,Lento,Húmedo,Cálido,2057
Medio,Bajo consumo,Rápido,Seco,Frío,2060
Bajo,Bajo consumo,Rápido,Moderado,Cálido,2057
Alto,Bajo consumo,Moderado,Húmedo,Cálido,2055
Medio,Consumo moderado,Moderado,Seco,Frío,2045
Alto,Bajo consumo,Rápido,Húmedo,Frío,2051
Medio,Consumo moderado,Moderado,Seco,Frío,2096
Medio,Consumo moderado,Lento,Moderado,Frío,2086
Alto,Consumo moderado,Moderado,Seco,Templado,2050
Alto,Bajo consumo,Moderado,Húmedo,Frío,2090
Medio,Bajo consumo,Rápido,Seco,Cálido,2036
Bajo,Bajo consumo,Moderado,Húmedo,Cálido,2046
Alto,Alto consumo,Moderado,Moderado,Templado,2041
Medio,Consumo moderado,Moderado,Seco,Frío,2031
Medio,Alto consumo,Lento,Húmedo,Cálido,2092
Bajo,Consumo moderado,Moderado,Húmedo,Templado,2061
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2062
Bajo,Consumo moderado,Lento,Seco,Templado,2035
Alto,Consumo moderado,Lento,Seco,Templado,2025
Medio,Alto consumo,Lento,Seco,Frío,2049
Medio,Consumo moderado,Rápido,Moderado,Templado,2066
Medio,Bajo consumo,Lento,Húmedo,Cálido,2076
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2048
Medio,Consumo moderado,Lento,Moderado,Frío,2077
Alto,Consumo moderado,Moderado,Moderado,Frío,2080
Bajo,Alto consumo,Lento,Seco,Templado,2087
Bajo,Consumo moderado,Rápido,Seco,Frío,2032
Bajo,Consumo moderado,Lento,Seco,Cálido,2083
Bajo,Alto consumo,Lento,Seco,Cálido,2069
Alto,Alto consumo,Rápido,Seco,Frío,2051
Medio,Alto consumo,Lento,Seco,Frío,2076
Alto,Alto consumo,Moderado,Moderado,Frío,2042
Medio,Bajo consumo,Lento,Moderado,Templado,2040
Alto,Bajo consumo,Lento,Moderado,Templado,2090
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2029
Bajo,Bajo consumo,Rápido,Húmedo,Templado,2027
Alto,Consumo moderado,Lento,Seco,Templado,2094
Alto,Bajo consumo,Lento,Moderado,Templado,2031
Medio,Alto consumo,Moderado,Húmedo,Templado,2074
Alto,Alto consumo,Lento,Húmedo,Cálido,2038
Alto,Bajo consumo,Lento,Moderado,Frío,2062
Medio,Bajo consumo,Lento,Húmedo,Cálido,2071
Medio,Consumo moderado,Lento,Húmedo,Templado,2057
Medio,Consumo moderado,Moderado,Moderado,Frío,2067
Alto,Consumo moderado,Moderado,Húmedo,Frío,2053
Medio,Alto consumo,Rápido,Moderado,Frío,2081
Bajo,Alto consumo,Lento,Húmedo,Cálido,2029
Bajo,Alto consumo,Rápido,Moderado,Frío,2084
Bajo,Alto consumo,Rápido,Húmedo,Cálido,2094
Alto,Consumo moderado,Lento,Húmedo,Cálido,2026
Bajo,Alto consumo,Moderado,Moderado,Templado,2094
Alto,Alto consumo,Moderado,Húmedo,Templado,2067
Alto,Alto consumo,Lento,Moderado,Frío,2028
Bajo,Alto consumo,Lento,Moderado,Frío,2080
Medio,Bajo consumo,Moderado,Húmedo,Templado,2083
Alto,Consumo moderado,Lento,Seco,Cálido,2033
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2027
Alto,Alto consumo,Lento,Seco,Templado,2072
Medio,Bajo consumo,Moderado,Seco,Cálido,2067
Medio,Consumo moderado,Rápido,Húmedo,Templado,2025
Bajo,Consumo moderado,Rápido,Seco,Templado,2081
Alto,Alto consumo,Lento,Moderado,Frío,2077
Alto,Alto consumo,Moderado,Moderado,Frío,2040
Alto,Consumo moderado,Lento,Seco,Templado,2075
Alto,Consumo moderado,Moderado,Moderado,Frío,2099
Bajo,Bajo consumo,Lento,Húmedo,Templado,2079
Medio,Consumo moderado,Moderado,Moderado,Cálido,2025
Bajo,Consumo moderado,Moderado,Seco,Cálido,2052
Alto,Alto consumo,Rápido,Húmedo,Cálido,2077
Alto,Consumo moderado,Lento,Moderado,Cálido,2082
Medio,Alto consumo,Rápido,Húmedo,Templado,2097
Alto,Consumo moderado,Rápido,Seco,Cálido,2084
Bajo,Consumo moderado,Moderado,Moderado,Cálido,2083
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2046
Medio,Bajo consumo,Moderado,Húmedo,Cálido,2032
Bajo,Alto consumo,Moderado,Moderado,Templado,2073
Bajo,Bajo consumo,Moderado,Húmedo,Cálido,2066
Bajo,Consumo moderado,Lento,Húmedo,Frío,2051
Bajo,Bajo consumo,Lento,Seco,Frío,2063
Alto,Alto consumo,Moderado,Seco,Frío,2049
Bajo,Consumo moderado,Lento,Seco,Frío,2062
Medio,Bajo consumo,Moderado,Seco,Frío,2048
Medio,Bajo consumo,Lento,Seco,Frío,2048
Bajo,Alto consumo,Lento,Seco,Templado,2084
Medio,Bajo consumo,Rápido,Moderado,Frío,2074
Bajo,Alto consumo,Moderado,Seco,Cálido,2090
Medio,Consumo moderado,Rápido,Húmedo,Frío,2038
Medio,Consumo moderado,Rápido,Moderado,Templado,2077
Bajo,Bajo consumo,Moderado,Húmedo,Frío,2056
Bajo,Consumo moderado,Moderado,Seco,Cálido,2072
Alto,Consumo moderado,Lento,Seco,Cálido,2063
Bajo,Bajo consumo,Moderado,Húmedo,Templado,2064
Bajo,Consumo moderado,Rápido,Húmedo,Templado,2066
Alto,Bajo consumo,Rápido,Húmedo,Templado,2032
Bajo,Alto consumo,Moderado,Moderado,Templado,2050
Bajo,Alto consumo,Rápido,Seco,Frío,2036
Alto,Alto consumo,Lento,Húmedo,Frío,2067
Bajo,Bajo consumo,Rápido,Seco,Cálido,2075
Bajo,Bajo consumo,Lento,Húmedo,Templado,2087
Alto,Consumo moderado,Rápido,Seco,Templado,2073
Alto,Consumo moderado,Lento,Moderado,Frío,2051
Medio,Consumo moderado,Lento,Seco,Templado,2033
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2063
Medio,Consumo moderado,Lento,Seco,Cálido,2089
Medio,Bajo consumo,Moderado,Moderado,Templado,2095
Alto,Bajo consumo,Rápido,Moderado,Cálido,2095
Bajo,Alto consumo,Rápido,Seco,Cálido,2031
Bajo,Alto consumo,Rápido,Húmedo,Frío,2096
Alto,Alto consumo,Lento,Moderado,Cálido,2091
Medio,Alto consumo,Rápido,Moderado,Templado,2034
Alto,Bajo consumo,Rápido,Seco,Templado,2095
Bajo,Bajo consumo,Moderado,Moderado,Cálido,2077
Alto,Bajo consumo,Moderado,Moderado,Templado,2081
Bajo,Consumo moderado,Rápido,Húmedo,Frío,2051
Medio,Consumo moderado,Rápido,Húmedo,Cálido,2078
Bajo,Alto consumo,Lento,Húmedo,Cálido,2028
Medio,Consumo moderado,Lento,Seco,Cálido,2047
Medio,Bajo consumo,Rápido,Moderado,Templado,2072
Bajo,Alto consumo,Moderado,Seco,Templado,2066
Bajo,Alto consumo,Rápido,Moderado,Cálido,2027
Medio,Consumo moderado,Lento,Moderado,Templado,2027
Alto,Alto consumo,Moderado,Moderado,Templado,2052
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2087
Medio,Consumo moderado,Lento,Seco,Cálido,2055
Medio,Alto consumo,Rápido,Seco,Templado,2034
Alto,Consumo moderado,Rápido,Moderado,Cálido,2073
Bajo,Consumo moderado,Rápido,Seco,Cálido,2045
Medio,Consumo moderado,Lento,Húmedo,Cálido,2077
Alto,Consumo moderado,Moderado,Seco,Cálido,2078
Medio,Alto consumo,Lento,Moderado,Templado,2081
Bajo,Bajo consumo,Rápido,Húmedo,Cálido,2044
Alto,Bajo consumo,Lento,Húmedo,Frío,2073
Medio,Consumo moderado,Moderado,Moderado,Cálido,2031
Alto,Consumo moderado,Lento,Seco,Frío,2053
Bajo,Consumo moderado,Rápido,Moderado,Cálido,2072
Alto,Bajo consumo,Moderado,Seco,Frío,2037
Bajo,Consumo moderado,Lento,Seco,Frío,2027
Medio,Alto consumo,Lento,Húmedo,Cálido,2026
Bajo,Alto consumo,Moderado,Moderado,Cálido,2040
Medio,Alto consumo,Moderado,Húmedo,Cálido,2030
Medio,Bajo consumo,Rápido,Moderado,Frío,2069
Bajo,Consumo moderado,Moderado,Moderado,Templado,2095
Medio,Consumo moderado,Rápido,Húmedo,Templado,2029
Alto,Consumo moderado,Lento,Moderado,Cálido,2080
Medio,Bajo consumo,Rápido,Moderado,Templado,2095
Bajo,Bajo consumo,Lento,Seco,Templado,2056
Alto,Bajo consumo,Moderado,Moderado,Cálido,2073
Alto,Bajo consumo,Lento,Moderado,Frío,2037
Medio,Alto consumo,Moderado,Húmedo,Cálido,2054
Medio,Bajo consumo,Lento,Húmedo,Templado,2049
Bajo,Bajo consumo,Lento,Moderado,Frío,2084
Alto,Bajo consumo,Lento,Seco,Templado,2083
Bajo,Consumo moderado,Lento,Seco,Frío,2052
Medio,Consumo moderado,Rápido,Húmedo,Templado,2082
Alto,Consumo moderado,Lento,Moderado,Cálido,2044
Bajo,Alto consumo,Rápido,Moderado,Templado,2058
Bajo,Alto consumo,Moderado,Seco,Templado,2029
Bajo,Bajo consumo,Moderado,Seco,Frío,2084
Bajo,Consumo moderado,Rápido,Seco,Templado,2067
Bajo,Alto consumo,Moderado,Húmedo,Cálido,2081
Alto,Consumo moderado,Moderado,Moderado,Cálido,2081
Bajo,Alto consumo,Lento,Húmedo,Cálido,2099
Alto,Alto consumo,Lento,Moderado,Frío,2078
Bajo,Bajo consumo,Lento,Húmedo,Frío,2069
Medio,Bajo consumo,Rápido,Moderado,Templado,2061
Medio,Alto consumo,Rápido,Seco,Templado,2072
Bajo,Bajo consumo,Moderado,Seco,Templado,2078
Medio,Alto consumo,Lento,Seco,Frío,2072
Alto,Alto consumo,Rápido,Húmedo,Frío,2030
Bajo,Consumo moderado,Rápido,Seco,Templado,2058
Alto,Bajo consumo,Lento,Moderado,Frío,2087
Bajo,Bajo consumo,Rápido,Húmedo,Frío,2072
Medio,Bajo consumo,Lento,Moderado,Cálido,2047
Alto,Consumo moderado,Moderado,Húmedo,Cálido,2037
Medio,Consumo moderado,Moderado,Moderado,Templado,2071
Medio,Consumo moderado,Moderado,Moderado,Templado,2068
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2056
Alto,Bajo consumo,Rápido,Húmedo,Frío,2050
Medio,Bajo consumo,Moderado,Seco,Templado,2077
Bajo,Consumo moderado,Moderado,Seco,Templado,2038
Bajo,Consumo moderado,Moderado,Moderado,Templado,2076
Bajo,Alto consumo,Rápido,Moderado,Frío,2060
Medio,Consumo moderado,Rápido,Moderado,Cálido,2032
Bajo,Alto consumo,Lento,Húmedo,Templado,2064
Alto,Bajo consumo,Moderado,Húmedo,Cálido,2046
Alto,Consumo moderado,Rápido,Seco,Cálido,2040
Medio,Bajo consumo,Lento,Moderado,Frío,2084
Alto,Bajo consumo,Moderado,Seco,Frío,2084
Bajo,Bajo consumo,Rápido,Húmedo,Frío,2034
Medio,Bajo consumo,Rápido,Húmedo,Frío,2049
Bajo,Consumo moderado,Lento,Húmedo,Frío,2055
Medio,Bajo consumo,Moderado,Seco,Frío,2045
Medio,Alto consumo,Moderado,Húmedo,Templado,2057
Bajo,Consumo moderado,Rápido,Moderado,Cálido,2055
Alto,Bajo consumo,Moderado,Seco,Frío,2045
Alto,Consumo moderado,Lento,Húmedo,Templado,2060
Medio,Alto consumo,Rápido,Seco,Cálido,2089
Bajo,Bajo consumo,Rápido,Seco,Frío,2028
Bajo,Alto consumo,Lento,Húmedo,Frío,2092
Medio,Bajo consumo,Rápido,Húmedo,Templado,2028
Alto,Alto consumo,Moderado,Seco,Cálido,2033
Bajo,Bajo consumo,Moderado,Seco,Frío,2054
Alto,Consumo moderado,Rápido,Húmedo,Cálido,2069
Alto,Bajo consumo,Lento,Moderado,Templado,2028
Medio,Consumo moderado,Lento,Seco,Frío,2093
Medio,Bajo consumo,Moderado,Seco,Cálido,2047
Alto,Bajo consumo,Lento,Moderado,Templado,2040
Bajo,Alto consumo,Rápido,Húmedo,Templado,2046
Bajo,Alto consumo,Rápido,Húmedo,Frío,2096
Medio,Alto consumo,Moderado,Moderado,Cálido,2072
Alto,Bajo consumo,Moderado,Húmedo,Frío,2086
Bajo,Bajo consumo,Moderado,Húmedo,Frío,2084
Bajo,Bajo consumo,Lento,Seco,Cálido,2029
Medio,Consumo moderado,Rápido,Seco,Cálido,2031
Alto,Consumo moderado,Rápido,Seco,Cálido,2075
Bajo,Bajo consumo,Rápido,Moderado,Templado,2089
Medio,Alto consumo,Moderado,Húmedo,Templado,2033
Bajo,Alto consumo,Rápido,Húmedo,Cálido,2069
Bajo,Alto consumo,Lento,Seco,Templado,2071
Bajo,Bajo consumo,Lento,Seco,Frío,2091
Medio,Alto consumo,Rápido,Moderado,Cálido,2048
Alto,Bajo consumo,Moderado,Húmedo,Frío,2034
Medio,Consumo moderado,Rápido,Moderado,Cálido,2097
Alto,Alto consumo,Lento,Húmedo,Frío,2072
Bajo,Consumo moderado,Lento,Moderado,Cálido,2059
Alto,Alto consumo,Lento,Seco,Frío,2078
Bajo,Bajo consumo,Rápido,Moderado,Cálido,2095
Bajo,Bajo consumo,Lento,Moderado,Cálido,2040
Medio,Bajo consumo,Moderado,Seco,Templado,2077
Bajo,Bajo consumo,Rápido,Húmedo,Frío,2064
Medio,Alto consumo,Rápido,Húmedo,Templado,2044
Alto,Consumo moderado,Lento,Seco,Frío,2093
Alto,Bajo consumo,Lento,Moderado,Templado,2069
Bajo,Alto consumo,Moderado,Moderado,Cálido,2030
Medio,Consumo moderado,Rápido,Moderado,Templado,2093
Bajo,Bajo consumo,Lento,Húmedo,Templado,2073
Medio,Consumo moderado,Moderado,Moderado,Cálido,2063
Medio,Bajo consumo,Lento,Húmedo,Templado,2026
Medio,Consumo moderado,Rápido,Moderado,Cálido,2063
Alto,Consumo moderado,Lento,Seco,Frío,2045
Medio,Bajo consumo,Rápido,Seco,Templado,2064
Alto,Alto consumo,Lento,Húmedo,Cálido,2078
Medio,Consumo moderado,Rápido,Húmedo,Cálido,2036
Alto,Bajo consumo,Moderado,Seco,Templado,2061
Alto,Consumo moderado,Rápido,Seco,Frío,2062
Alto,Consumo moderado,Moderado,Moderado,Templado,2039
Bajo,Alto consumo,Rápido,Seco,Cálido,2031
Medio,Consumo moderado,Moderado,Húmedo,Frío,2074
Bajo,Consumo moderado,Lento,Seco,Templado,2089
Medio,Bajo consumo,Rápido,Húmedo,Cálido,2091
Medio,Bajo consumo,Lento,Húmedo,Templado,2068
Bajo,Alto consumo,Moderado,Moderado,Frío,2055
Alto,Consumo moderado,Rápido,Moderado,Frío,2067
Medio,Consumo moderado,Rápido,Moderado,Frío,2072
Alto,Consumo moderado,Lento,Moderado,Frío,2085
Bajo,Alto consumo,Rápido,Seco,Frío,2099
Alto,Consumo moderado,Rápido,Moderado,Templado,2034
Medio,Bajo consumo,Lento,Seco,Frío,2053
Medio,Alto consumo,Rápido,Moderado,Frío,2072
Medio,Bajo consumo,Lento,Moderado,Cálido,2086
Bajo,Bajo consumo,Lento,Húmedo,Frío,2037
Medio,Alto consumo,Lento,Seco,Cálido,2068
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2071
Alto,Consumo moderado,Lento,Moderado,Cálido,2088
Medio,Alto consumo,Moderado,Seco,Templado,2077
Medio,Bajo consumo,Moderado,Moderado,Templado,2068
Medio,Consumo moderado,Lento,Húmedo,Cálido,2052
Alto,Consumo moderado,Moderado,Seco,Templado,2026
Medio,Bajo consumo,Moderado,Húmedo,Frío,2081
Bajo,Consumo moderado,Rápido,Moderado,Templado,2081
Alto,Alto consumo,Lento,Moderado,Frío,2058
Alto,Bajo consumo,Moderado,Moderado,Frío,2082
Alto,Consumo moderado,Rápido,Seco,Templado,2076
Alto,Consumo moderado,Rápido,Húmedo,Templado,2053
Alto,Bajo consumo,Lento,Húmedo,Cálido,2059
Bajo,Bajo consumo,Lento,Moderado,Templado,2099
Alto,Bajo consumo,Rápido,Húmedo,Templado,2072
Medio,Bajo consumo,Lento,Seco,Templado,2057
Alto,Alto consumo,Lento,Moderado,Frío,2099
Alto,Bajo consumo,Rápido,Moderado,Frío,2097
Alto,Alto consumo,Rápido,Moderado,Frío,2033
Alto,Alto consumo,Lento,Seco,Cálido,2072
Alto,Bajo consumo,Moderado,Moderado,Cálido,2091
Bajo,Alto consumo,Lento,Moderado,Cálido,2060
Bajo,Bajo consumo,Moderado,Moderado,Frío,2095
Alto,Bajo consumo,Rápido,Moderado,Templado,2068
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2084
Medio,Bajo consumo,Rápido,Moderado,Cálido,2087
Alto,Consumo moderado,Lento,Seco,Frío,2029
Medio,Alto consumo,Lento,Moderado,Cálido,2064
Medio,Consumo moderado,Rápido,Moderado,Templado,2043
Alto,Alto consumo,Rápido,Húmedo,Frío,2071
Medio,Bajo consumo,Rápido,Moderado,Frío,2089
Medio,Alto consumo,Lento,Húmedo,Templado,2091
Medio,Alto consumo,Lento,Seco,Templado,2042
Alto,Bajo consumo,Moderado,Húmedo,Templado,2074
Alto,Alto consumo,Rápido,Moderado,Cálido,2054
Medio,Bajo consumo,Moderado,Seco,Templado,2090
Alto,Consumo moderado,Lento,Moderado,Frío,2029
Alto,Bajo consumo,Moderado,Húmedo,Templado,2066
Medio,Bajo consumo,Moderado,Seco,Frío,2029
Alto,Alto consumo,Lento,Seco,Frío,2074
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2082
Alto,Bajo consumo,Rápido,Húmedo,Templado,2032
Bajo,Consumo moderado,Moderado,Seco,Cálido,2055
Medio,Consumo moderado,Lento,Seco,Templado,2036
Alto,Alto consumo,Lento,Húmedo,Templado,2045
Medio,Bajo consumo,Moderado,Moderado,Templado,2086
Medio,Alto consumo,Lento,Seco,Templado,2057
Medio,Bajo consumo,Rápido,Húmedo,Templado,2050
Medio,Consumo moderado,Rápido,Moderado,Frío,2064
Medio,Bajo consumo,Moderado,Seco,Frío,2089
Alto,Bajo consumo,Rápido,Seco,Templado,2083
Bajo,Consumo moderado,Lento,Húmedo,Frío,2039
Alto,Consumo moderado,Lento,Moderado,Cálido,2025
Alto,Bajo consumo,Lento,Seco,Cálido,2035
Alto,Alto consumo,Lento,Moderado,Cálido,2079
Alto,Bajo consumo,Moderado,Moderado,Templado,2026
Bajo,Consumo moderado,Rápido,Seco,Templado,2089
Alto,Alto consumo,Rápido,Moderado,Frío,2068
Medio,Consumo moderado,Lento,Seco,Frío,2040
Alto,Consumo moderado,Moderado,Moderado,Frío,2046
Alto,Alto consumo,Lento,Seco,Cálido,2042
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2071
Bajo,Consumo moderado,Moderado,Seco,Cálido,2054
Medio,Consumo moderado,Moderado,Seco,Cálido,2034
Alto,Consumo moderado,Lento,Seco,Frío,2082
Alto,Consumo moderado,Rápido,Moderado,Templado,2086
Alto,Consumo moderado,Lento,Húmedo,Templado,2030
Medio,Consumo moderado,Rápido,Moderado,Cálido,2091
Bajo,Consumo moderado,Rápido,Moderado,Templado,2065
Medio,Consumo moderado,Moderado,Seco,Templado,2067
Alto,Bajo consumo,Moderado,Moderado,Templado,2042
